Materials,NNS,O
with,IN,O
the,DT,O
general,JJ,O
formula,NN,O
AxBB'(PO4)3,NNP,B-Composition
consisting,NN,O
of,IN,O
a,DT,O
BB'(PO4)3,NNP,B-Composition
framework,NN,O
built,VBN,O
up,RP,O
by,IN,O
a,DT,O
corner,NN,O
sharing,VBG,O
B(B')O6,NNP,B-Structure
octahedra,NN,I-Structure
and,CC,O
PO4,NNP,B-Structure
tetrahedra,NN,I-Structure
in,IN,O
such,JJ,O
a,DT,O
way,NN,O
that,IN,O
each,DT,O
octahedron,NN,B-Structure
is,VBZ,O
surrounded,VBN,O
by,IN,O
six,CD,O
tetrahedra,NNS,B-Structure
and,CC,O
each,DT,O
tetrahedron,NN,B-Structure
is,VBZ,O
connected,VBN,O
to,TO,O
four,CD,O
octahedra,NN,B-Structure
",",",",O
crystallise,NN,B-Processing
mainly,RB,O
in,IN,O
the,DT,O
Nasicon,NNP,B-Composition
NaZr2(PO4)3,NNP,I-Composition
.,.,O
 , , 
Materials,NNS,O
derive,IN,O
the,DT,O
general,JJ,O
formula,NN,O
AxBB'(PO4)3,NNP,B-Composition
consisting,NN,O
of,IN,O
a,DT,O
iom,NNP,B-Composition
framework,NN,O
backed,VBN,O
up,RP,O
by,IN,O
a,DT,O
corner,NN,O
containing,VBG,O
B(B')O6,NNP,B-Structure
octahedra,NN,I-Structure
and,CC,O
PO4,NNP,B-Structure
residues,NN,I-Structure
in,IN,O
such,JJ,O
a,DT,O
way,NN,O
that,IN,O
each,DT,O
octahedron,NN,B-Structure
is,VBZ,O
connected,VBN,O
by,IN,O
six,CD,O
residues,NNS,B-Structure
and,CC,O
each,DT,O
tetrahedron,NN,B-Structure
is,VBZ,O
connected,VBN,O
to,TO,O
four,CD,O
octahedra,NN,B-Structure
",",",",O
enclosed,NN,B-Processing
mainly,RB,O
in,IN,O
the,DT,O
Nasicon,NNP,B-Composition
NaZr2(PO4)3,NNP,I-Composition
.,.,O
 , , 
Close,JJ,O
examination,NN,O
of,IN,O
the,DT,O
atomic,JJ,B-Structure
positions,NNS,I-Structure
and,CC,O
interatomic,JJ,B-Property
distances,NNS,I-Property
shows,VBZ,O
that,IN,O
the,DT,O
main,JJ,O
differences,NNS,O
between,IN,O
both,DT,O
CdSnFe(PO4)3,NNP,B-Composition
and,CC,O
(,(,O
Na2SnFe(PO4)3,NNP,B-Composition
or,CC,O
CaSnFe(PO4)3,NNP,B-Composition
),),O
structures,NNS,O
are,VBP,O
in,IN,O
the,DT,O
ribbons,NNS,O
parallel,VBP,O
to,TO,O
the,DT,O
c,NN,O
axis,NN,O
.,.,O
 , , 
Close,JJ,O
examination,NN,O
of,IN,O
intermediate,DT,O
atomic,JJ,B-Structure
positions,NNS,I-Structure
and,CC,O
interatomic,JJ,B-Property
distances,NNS,I-Property
shows,VBZ,O
that,IN,O
intermediate,DT,O
main,JJ,O
differences,NNS,O
between,IN,O
both,DT,O
Au,NNP,B-Composition
and,CC,O
Au,(,O
Na2SnFe(PO4)3,NNP,B-Composition
or,CC,O
Au,NNP,B-Composition
),),O
structures,NNS,O
are,VBP,O
in,IN,O
intermediate,DT,O
ribbons,NNS,O
parallel,VBP,O
to,TO,O
intermediate,DT,O
atomic,NN,O
axis,NN,O
.,.,O
 , , 
The,DT,O
linear,JJ,O
increases,NNS,O
of,IN,O
M1-O(2),NNP,B-Property
distance,NN,I-Property
versus,NN,O
A,DT,B-Composition
cation,NN,I-Composition
ionic,JJ,B-Property
radii,NN,I-Property
",",",",O
in,IN,O
ASnFe(PO4)3,NNP,B-Composition
phases,NNS,B-Structure
",",",",O
is,VBZ,O
accompanied,VBN,O
with,IN,O
a,DT,O
regular,JJ,O
increase,NN,O
of,IN,O
chex,JJ,B-Property
parameters,NNS,I-Property
.,.,O
 , , 
The,DT,O
linear,JJ,O
increases,NNS,O
of,IN,O
M1-O(2),NNP,B-Property
distance,NN,I-Property
versus,NN,O
CO,DT,B-Composition
O,NN,I-Composition
ionic,JJ,B-Property
radii,NN,I-Property
",",",",O
in,IN,O
ASnFe(PO4)3,NNP,B-Composition
H,NNS,B-Structure
",",",",O
iph,VBZ,O
accompanied,VBN,O
by,IN,O
a,DT,O
regular,JJ,O
increase,NN,O
of,IN,O
chex,JJ,B-Property
parameters,NNS,I-Property
.,.,O
 , , 
The,DT,O
increase,NN,O
of,IN,O
the,DT,O
M1,NNP,B-Structure
site,NN,I-Structure
size,NN,B-Property
in,IN,O
Na2SnFe(PO4)3,NNP,B-Composition
is,VBZ,O
accompanied,VBN,O
by,IN,O
oxygen,NN,B-Property
displacements,NNS,I-Property
perpendicular,JJ,I-Property
to,TO,O
the,DT,O
c,NN,O
axis,NN,O
which,WDT,O
give,VBP,O
