cyclability(Property_Behavior),The extended cyclability attained with Cr is again connected to the improved chemo-mechanical stability of the LAGP pellet.
Cr(Composition),The extended cyclability attained with Cr is again connected to the improved chemo-mechanical stability of the LAGP pellet.
chemo-mechanical stability(Property_Behavior),The extended cyclability attained with Cr is again connected to the improved chemo-mechanical stability of the LAGP pellet.
LAGP(Composition),The extended cyclability attained with Cr is again connected to the improved chemo-mechanical stability of the LAGP pellet.
Sn coatings(Feature),"Sn coatings were achieved by radio frequency (RF) magnetron sputtering using a Kurt J. Lesker Lab 18 thin film deposition system and a pure Sn target (99.99%, SCI Engineering Materials, 3 inch diameter)."
radio frequency(Characterization),"Sn coatings were achieved by radio frequency (RF) magnetron sputtering using a Kurt J. Lesker Lab 18 thin film deposition system and a pure Sn target (99.99%, SCI Engineering Materials, 3 inch diameter)."
saddle point(Feature),"When the energy landscape reached the saddle point, we surprisingly find that it corresponds not to any bottleneck but to Na2 site which indicate that Na2 site is a high energy site."
Na2(Composition),"When the energy landscape reached the saddle point, we surprisingly find that it corresponds not to any bottleneck but to Na2 site which indicate that Na2 site is a high energy site."
site(Structure),"When the energy landscape reached the saddle point, we surprisingly find that it corresponds not to any bottleneck but to Na2 site which indicate that Na2 site is a high energy site."
energy site(Feature),"When the energy landscape reached the saddle point, we surprisingly find that it corresponds not to any bottleneck but to Na2 site which indicate that Na2 site is a high energy site."
quadratic dynamic matrix control formulation(Characterization),"Similarly, authors in [2] propose quadratic dynamic matrix control formulation to design an optimal charging strategy for real-time model predictive control."
Electrochemical Impedance Spectroscopy(Characterization),"Electrochemical Impedance Spectroscopy (EIS) shows the impedance of a cell as a function of frequency and tem-determining cell impedance, as well as the most complex and costly perature."
EIS(Characterization),"Electrochemical Impedance Spectroscopy (EIS) shows the impedance of a cell as a function of frequency and tem-determining cell impedance, as well as the most complex and costly perature."
1C-rate(Condition),"Under dynamic loads of 1C-rate, or when small historical data is available, the application of feature bank improves the performance."
Lithium(Composition),"Ever-increasing stresses on environment protection and en-ergy supply raise growing spotlights on Lithium-ion battery(LiB), which is a kind of renewable energy storage and power source in comparison with traditional fuel. Characterized by high-energy density and falling cost [1], wide applications of LiB have been observed in various electronics and instruments."
DRS oxyfluoride(Feature),Many studies of DRS oxyfluorides have followed the original experimental report on the promising performance of Li2VO2F in 2015 [3].
Li2VO2F(Composition),Many studies of DRS oxyfluorides have followed the original experimental report on the promising performance of Li2VO2F in 2015 [3].
Kalman Filter(Characterization),Instead the estimation of Ri was done using a Kalman Filter and did not require the estimation of Rsc.
SVR(Characterization),The obtained results are ?nally compared to a more classical SVR approach.
relative contribution analysis(Characterization),"In Pipeline 1, each ML model is directly trained using the primary features, whereas Pipeline 2 employs a relative contribution analysis (RCA) and recursive feature elimination (RFE) to improve the performance of the models."
RCA(Characterization),"In Pipeline 1, each ML model is directly trained using the primary features, whereas Pipeline 2 employs a relative contribution analysis (RCA) and recursive feature elimination (RFE) to improve the performance of the models."
recursive feature elimination(Characterization),"In Pipeline 1, each ML model is directly trained using the primary features, whereas Pipeline 2 employs a relative contribution analysis (RCA) and recursive feature elimination (RFE) to improve the performance of the models."
RFE(Characterization),"In Pipeline 1, each ML model is directly trained using the primary features, whereas Pipeline 2 employs a relative contribution analysis (RCA) and recursive feature elimination (RFE) to improve the performance of the models."
temperature(Condition),"Specifically, the related components within a kernel function are modified separately to reflect all input terms including the temperature, DOD, and battery capacities."
DOD(Condition),"Specifically, the related components within a kernel function are modified separately to reflect all input terms including the temperature, DOD, and battery capacities."
battery capacities(Condition),"Specifically, the related components within a kernel function are modified separately to reflect all input terms including the temperature, DOD, and battery capacities."
Regression model(Characterization),"Regression models were developed using the elastic net, a regularized linear regression method that simultaneously selects a subset of features and determines the feature coefficients."
elastic net(Characterization),"Regression models were developed using the elastic net, a regularized linear regression method that simultaneously selects a subset of features and determines the feature coefficients."
regularized linear regression(Characterization),"Regression models were developed using the elastic net, a regularized linear regression method that simultaneously selects a subset of features and determines the feature coefficients."
correlated jump(Processing),"As shown in Figure 6a, with the increase in simulation temperature or Na+ concentration, the percentage of correlated jumps increases which indicate that more Na+ ions diffuse in the concerted migration mechanism with lower migration barrier."
Na+ ions(Composition),"As shown in Figure 6a, with the increase in simulation temperature or Na+ concentration, the percentage of correlated jumps increases which indicate that more Na+ ions diffuse in the concerted migration mechanism with lower migration barrier."
diffuse(Processing),"As shown in Figure 6a, with the increase in simulation temperature or Na+ concentration, the percentage of correlated jumps increases which indicate that more Na+ ions diffuse in the concerted migration mechanism with lower migration barrier."
concerted migration(Processing),"As shown in Figure 6a, with the increase in simulation temperature or Na+ concentration, the percentage of correlated jumps increases which indicate that more Na+ ions diffuse in the concerted migration mechanism with lower migration barrier."
polymerized unit(Feature),An extrapolation of this ?nding beyond these limits is possible by expanding the model further to include polymerized units (i.e. with more than two carbonyl groups) which would be capable of accommodating more than 2 lithium atoms.
carbonyl group(Feature),An extrapolation of this ?nding beyond these limits is possible by expanding the model further to include polymerized units (i.e. with more than two carbonyl groups) which would be capable of accommodating more than 2 lithium atoms.
BMS(Application),"The BMS has to estimate each of them, thanks to measured data such as current, voltages, temperatures, and state observers [10]."
current(Condition),"The BMS has to estimate each of them, thanks to measured data such as current, voltages, temperatures, and state observers [10]."
voltage(Condition),"The BMS has to estimate each of them, thanks to measured data such as current, voltages, temperatures, and state observers [10]."
temperature(Condition),"The BMS has to estimate each of them, thanks to measured data such as current, voltages, temperatures, and state observers [10]."
Physico-chemical model(Characterization),"On the other hand, the three-dimensional extended simulations using 3D-SEM tomography data [12,13] or artificial structure [14,15] based on the Physico-chemical model have been developed and reported recently."
capacity(Property_Behavior),"Through repetitively charging and discharging procedure, energy is continuously transferred from LiB to its powered system. The repetitive usage over cycles causes a natural drop of capacity as shown in Fig. 1, in which data are provided by Ames Prognostics Center of Excellence in National Aero- nautics and Space Administration (NASA) [9]."
GBR(Characterization),"This complexity can be attributed to the boosting algorithm in GBR, meaning that the ensemble method and the individual learners have their own sets of parameters."
voltage(Property_Behavior),"In addition, a negative penalty is also introduce at each time step in which the voltage and temperature constraints are violated."
temperature(Condition),"In addition, a negative penalty is also introduce at each time step in which the voltage and temperature constraints are violated."
MDA(Characterization),ELI5(one Python library) provides a way to compute feature importances for black-box estimators by measuring how the MDA when a feature is not available.
open-circuit voltage(Property_Behavior),If we consider a battery model where the only parameter that is estimated is the open-circuit voltage (Vo c )
IndRNN network model(Characterization),"Figure 14 presents the results of the IndRNN network model for SOH estimation under each time step size along with true SOH value obtained from battery dataset. As discussed earlier, true SOH value is calculated using Equations (1) and (2)."
SOH(Property_Behavior),"Figure 14 presents the results of the IndRNN network model for SOH estimation under each time step size along with true SOH value obtained from battery dataset. As discussed earlier, true SOH value is calculated using Equations (1) and (2)."
SOH(Property_Behavior),"Figure 14 presents the results of the IndRNN network model for SOH estimation under each time step size along with true SOH value obtained from battery dataset. As discussed earlier, true SOH value is calculated using Equations (1) and (2)."
SOH(Property_Behavior),"Figure 14 presents the results of the IndRNN network model for SOH estimation under each time step size along with true SOH value obtained from battery dataset. As discussed earlier, true SOH value is calculated using Equations (1) and (2)."
log transformation(Characterization),"Additionally, the log transformation was consistently found to be an effective transformation for both the features and the cycle life."
cycle life(Property_Behavior),"Additionally, the log transformation was consistently found to be an effective transformation for both the features and the cycle life."
solid-state electrolytes(Application),The thickness of solid-state electrolytes (SSEs) significantly affects the energy density and safety performance of all-solid-state lithium batteries.
SSEs(Application),The thickness of solid-state electrolytes (SSEs) significantly affects the energy density and safety performance of all-solid-state lithium batteries.
energy density(Feature),The thickness of solid-state electrolytes (SSEs) significantly affects the energy density and safety performance of all-solid-state lithium batteries.
all-solid-state lithium batteries(Application),The thickness of solid-state electrolytes (SSEs) significantly affects the energy density and safety performance of all-solid-state lithium batteries.
permutation-based variable importance computation(Characterization),"Finally, using permutation-based variable importance computation, an approach for aging factors ranking is presented and found to be in total agreement with the classical aging root causes in the literature."
temperature(Condition),This type of ageing primarily based on external environmental factors including temperature under storage condition.
SOH(Property_Behavior),"In contrast, this research work proposes a unique SOH estimation approach, using an independently recurrent neural network (IndRNN) in a more realistic manner by adopting the dynamic load pro?le condition of EVs."
independently recurrent neural network(Characterization),"In contrast, this research work proposes a unique SOH estimation approach, using an independently recurrent neural network (IndRNN) in a more realistic manner by adopting the dynamic load pro?le condition of EVs."
IndRNN(Characterization),"In contrast, this research work proposes a unique SOH estimation approach, using an independently recurrent neural network (IndRNN) in a more realistic manner by adopting the dynamic load pro?le condition of EVs."
DOD level(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
50%(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
80%(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
100%(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
temperature(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
35 degree C(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
45 degree C(Condition),"On the basis of the above mentioned test matrix, the capacity dataset under six cyclic conditions with different DOD levels (50%, 80% and 100%) and operational temperatures (35 degree C and 45 degree C) is obtained."
degradation(Property_Behavior),"The consecutive discharging cycles in the same pattern form a degradation stage. The multi-stage identi?cation will not only improve in-depth analysis of degradation mechanisms but also may contribute to other related topics, such as state of health estimation."
